Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 22918ms | tok/sec: 22,876 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 306ms | tok/sec: 1,710,675 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442315 | lrm: 1.00 | dt: 310ms | tok/sec: 1,689,578 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971713 | lrm: 1.00 | dt: 356ms | tok/sec: 1,472,961 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578771 | lrm: 1.00 | dt: 373ms | tok/sec: 1,406,540 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248857 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,062 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998090 | lrm: 1.00 | dt: 351ms | tok/sec: 1,494,288 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787108 | lrm: 1.00 | dt: 338ms | tok/sec: 1,552,617 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607025 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,638 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455187 | lrm: 1.00 | dt: 343ms | tok/sec: 1,530,737 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325422 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,791 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217121 | lrm: 1.00 | dt: 342ms | tok/sec: 1,532,781 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120771 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,852 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034944 | lrm: 1.00 | dt: 345ms | tok/sec: 1,520,015 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00152 (15.5%) | loss: 3.451436 | lrm: 1.00 | dt: 348ms | tok/sec: 1,505,703 | mfu: 36.4% | epoch: 1 | remaining: 253s    
step 00153 (15.7%) | loss: 3.448718 | lrm: 1.00 | dt: 367ms | tok/sec: 1,428,334 | mfu: 34.5% | epoch: 1 | remaining: 253s    
step 00154 (15.8%) | loss: 3.446907 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,036 | mfu: 38.6% | epoch: 1 | remaining: 252s    
step 00155 (15.9%) | loss: 3.441593 | lrm: 1.00 | dt: 341ms | tok/sec: 1,536,409 | mfu: 37.1% | epoch: 1 | remaining: 252s    
step 00156 (16.0%) | loss: 3.436835 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,065 | mfu: 38.6% | epoch: 1 | remaining: 252s    
step 00157 (16.1%) | loss: 3.433827 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,851 | mfu: 39.3% | epoch: 1 | remaining: 251s    
step 00158 (16.2%) | loss: 3.430119 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,711 | mfu: 39.3% | epoch: 1 | remaining: 251s    
step 00159 (16.3%) | loss: 3.425530 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,592 | mfu: 39.5% | epoch: 1 | remaining: 251s    
step 00160 (16.4%) | loss: 3.418956 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,999 | mfu: 39.5% | epoch: 1 | remaining: 250s    
step 00161 (16.5%) | loss: 3.415201 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,516 | mfu: 39.6% | epoch: 1 | remaining: 250s    
step 00162 (16.7%) | loss: 3.411155 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,117 | mfu: 39.4% | epoch: 1 | remaining: 250s    
step 00163 (16.8%) | loss: 3.406625 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,881 | mfu: 39.3% | epoch: 1 | remaining: 249s    
step 00164 (16.9%) | loss: 3.405284 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,209 | mfu: 39.6% | epoch: 1 | remaining: 249s    
step 00165 (17.0%) | loss: 3.401761 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,140 | mfu: 39.5% | epoch: 1 | remaining: 249s    
step 00166 (17.1%) | loss: 3.398406 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,788 | mfu: 39.1% | epoch: 1 | remaining: 248s    
step 00167 (17.2%) | loss: 3.396614 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,320 | mfu: 39.2% | epoch: 1 | remaining: 248s    
step 00168 (17.3%) | loss: 3.396964 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,417 | mfu: 39.4% | epoch: 1 | remaining: 248s    
step 00169 (17.4%) | loss: 3.401478 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,410 | mfu: 39.3% | epoch: 1 | remaining: 247s    
step 00170 (17.5%) | loss: 3.402868 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,578 | mfu: 39.4% | epoch: 1 | remaining: 247s    
step 00171 (17.6%) | loss: 3.396623 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,889 | mfu: 39.4% | epoch: 1 | remaining: 247s    
step 00172 (17.7%) | loss: 3.396664 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,160 | mfu: 38.8% | epoch: 1 | remaining: 247s    
step 00173 (17.8%) | loss: 3.394515 | lrm: 1.00 | dt: 345ms | tok/sec: 1,520,960 | mfu: 36.7% | epoch: 1 | remaining: 246s    
step 00174 (17.9%) | loss: 3.389700 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,586 | mfu: 38.6% | epoch: 1 | remaining: 246s    
step 00175 (18.1%) | loss: 3.382264 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,219 | mfu: 39.7% | epoch: 1 | remaining: 246s    
step 00176 (18.2%) | loss: 3.386307 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,553 | mfu: 39.2% | epoch: 1 | remaining: 245s    
step 00177 (18.3%) | loss: 3.376581 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,032 | mfu: 37.9% | epoch: 1 | remaining: 245s    
step 00178 (18.4%) | loss: 3.373467 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,107 | mfu: 38.3% | epoch: 1 | remaining: 245s    
step 00179 (18.5%) | loss: 3.370642 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,755 | mfu: 39.6% | epoch: 1 | remaining: 244s    
step 00180 (18.6%) | loss: 3.362408 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,106 | mfu: 38.9% | epoch: 1 | remaining: 244s    
step 00181 (18.7%) | loss: 3.358775 | lrm: 1.00 | dt: 319ms | tok/sec: 1,640,992 | mfu: 39.6% | epoch: 1 | remaining: 244s    
step 00182 (18.8%) | loss: 3.359459 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,844 | mfu: 39.3% | epoch: 1 | remaining: 243s    
step 00183 (18.9%) | loss: 3.357650 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,205 | mfu: 38.9% | epoch: 1 | remaining: 243s    
step 00184 (19.0%) | loss: 3.349734 | lrm: 1.00 | dt: 364ms | tok/sec: 1,442,227 | mfu: 34.8% | epoch: 1 | remaining: 243s    
step 00185 (19.2%) | loss: 3.351375 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,045 | mfu: 40.3% | epoch: 1 | remaining: 242s    
step 00186 (19.3%) | loss: 3.348371 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,403 | mfu: 39.3% | epoch: 1 | remaining: 242s    
step 00187 (19.4%) | loss: 3.343078 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,439 | mfu: 38.5% | epoch: 1 | remaining: 242s    
step 00188 (19.5%) | loss: 3.337622 | lrm: 1.00 | dt: 317ms | tok/sec: 1,656,348 | mfu: 40.0% | epoch: 1 | remaining: 241s    
step 00189 (19.6%) | loss: 3.341697 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,012 | mfu: 39.4% | epoch: 1 | remaining: 241s    
step 00190 (19.7%) | loss: 3.342116 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,029 | mfu: 38.6% | epoch: 1 | remaining: 241s    
step 00191 (19.8%) | loss: 3.342479 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,664 | mfu: 39.8% | epoch: 1 | remaining: 240s    
step 00192 (19.9%) | loss: 3.340605 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,157 | mfu: 39.4% | epoch: 1 | remaining: 240s    
step 00193 (20.0%) | loss: 3.339159 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,069 | mfu: 38.5% | epoch: 1 | remaining: 240s    
step 00194 (20.1%) | loss: 3.331827 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,310 | mfu: 39.5% | epoch: 1 | remaining: 239s    
step 00195 (20.2%) | loss: 3.330604 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,268 | mfu: 39.6% | epoch: 1 | remaining: 239s    
step 00196 (20.3%) | loss: 3.330568 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,803 | mfu: 38.8% | epoch: 1 | remaining: 239s    
step 00197 (20.4%) | loss: 3.327892 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,665 | mfu: 39.6% | epoch: 1 | remaining: 238s    
step 00198 (20.5%) | loss: 3.317381 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,457 | mfu: 39.3% | epoch: 1 | remaining: 238s    
step 00199 (20.7%) | loss: 3.314719 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,791 | mfu: 38.9% | epoch: 1 | remaining: 238s    
step 00200 (20.8%) | loss: 3.312651 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,000 | mfu: 39.6% | epoch: 1 | remaining: 237s    
step 00201 (20.9%) | loss: 3.311565 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,088 | mfu: 38.2% | epoch: 1 | remaining: 237s    
step 00202 (21.0%) | loss: 3.312287 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,877 | mfu: 39.4% | epoch: 1 | remaining: 237s    
step 00203 (21.1%) | loss: 3.310471 | lrm: 1.00 | dt: 360ms | tok/sec: 1,455,982 | mfu: 35.2% | epoch: 1 | remaining: 236s    
step 00204 (21.2%) | loss: 3.307643 | lrm: 1.00 | dt: 341ms | tok/sec: 1,539,044 | mfu: 37.2% | epoch: 1 | remaining: 236s    
step 00205 (21.3%) | loss: 3.297917 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,317 | mfu: 39.1% | epoch: 1 | remaining: 236s    
step 00206 (21.4%) | loss: 3.295409 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,924 | mfu: 38.3% | epoch: 1 | remaining: 235s    
step 00207 (21.5%) | loss: 3.293239 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,556 | mfu: 39.8% | epoch: 1 | remaining: 235s    
step 00208 (21.6%) | loss: 3.293107 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,325 | mfu: 39.7% | epoch: 1 | remaining: 235s    
step 00209 (21.8%) | loss: 3.289712 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,219 | mfu: 39.1% | epoch: 1 | remaining: 234s    
step 00210 (21.9%) | loss: 3.283945 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,144 | mfu: 39.1% | epoch: 1 | remaining: 234s    
step 00211 (22.0%) | loss: 3.288595 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,441 | mfu: 39.5% | epoch: 1 | remaining: 234s    
step 00212 (22.1%) | loss: 3.283584 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,928 | mfu: 38.8% | epoch: 1 | remaining: 233s    
step 00213 (22.2%) | loss: 3.278879 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,145 | mfu: 39.5% | epoch: 1 | remaining: 233s    
step 00214 (22.3%) | loss: 3.276153 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,613 | mfu: 39.1% | epoch: 1 | remaining: 233s    
step 00215 (22.4%) | loss: 3.274087 | lrm: 1.00 | dt: 347ms | tok/sec: 1,509,855 | mfu: 36.5% | epoch: 1 | remaining: 232s    
step 00216 (22.5%) | loss: 3.276584 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,886 | mfu: 38.1% | epoch: 1 | remaining: 232s    
step 00217 (22.6%) | loss: 3.278310 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,327 | mfu: 39.9% | epoch: 1 | remaining: 232s    
step 00218 (22.7%) | loss: 3.276786 | lrm: 1.00 | dt: 345ms | tok/sec: 1,521,410 | mfu: 36.8% | epoch: 1 | remaining: 231s    
step 00219 (22.8%) | loss: 3.276415 | lrm: 1.00 | dt: 419ms | tok/sec: 1,251,532 | mfu: 30.2% | epoch: 1 | remaining: 231s    
step 00220 (23.0%) | loss: 3.278805 | lrm: 1.00 | dt: 392ms | tok/sec: 1,337,270 | mfu: 32.3% | epoch: 1 | remaining: 231s    
step 00221 (23.1%) | loss: 3.280995 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,853 | mfu: 40.0% | epoch: 1 | remaining: 230s    
step 00222 (23.2%) | loss: 3.277392 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,655 | mfu: 39.6% | epoch: 1 | remaining: 230s    
step 00223 (23.3%) | loss: 3.278788 | lrm: 1.00 | dt: 338ms | tok/sec: 1,552,283 | mfu: 37.5% | epoch: 1 | remaining: 230s    
step 00224 (23.4%) | loss: 3.277719 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,970 | mfu: 39.7% | epoch: 1 | remaining: 229s    
step 00225 (23.5%) | loss: 3.277394 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,039 | mfu: 39.8% | epoch: 1 | remaining: 229s    
step 00226 (23.7%) | loss: 3.279953 | lrm: 1.00 | dt: 337ms | tok/sec: 1,555,738 | mfu: 37.6% | epoch: 1 | remaining: 229s    
step 00227 (23.8%) | loss: 3.278868 | lrm: 1.00 | dt: 344ms | tok/sec: 1,522,440 | mfu: 36.8% | epoch: 1 | remaining: 228s    
step 00228 (23.9%) | loss: 3.277336 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,544 | mfu: 39.5% | epoch: 1 | remaining: 228s    
step 00229 (24.0%) | loss: 3.274811 | lrm: 1.00 | dt: 379ms | tok/sec: 1,382,635 | mfu: 33.4% | epoch: 1 | remaining: 228s    
step 00230 (24.1%) | loss: 3.276115 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,633 | mfu: 37.7% | epoch: 1 | remaining: 227s    
step 00231 (24.2%) | loss: 3.276440 | lrm: 1.00 | dt: 360ms | tok/sec: 1,456,324 | mfu: 35.2% | epoch: 1 | remaining: 227s    
step 00232 (24.3%) | loss: 3.273188 | lrm: 1.00 | dt: 337ms | tok/sec: 1,557,426 | mfu: 37.6% | epoch: 1 | remaining: 227s    
step 00233 (24.5%) | loss: 3.268997 | lrm: 1.00 | dt: 376ms | tok/sec: 1,394,623 | mfu: 33.7% | epoch: 1 | remaining: 226s    
step 00234 (24.6%) | loss: 3.266940 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,324 | mfu: 39.3% | epoch: 1 | remaining: 226s    
step 00235 (24.7%) | loss: 3.264290 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,597 | mfu: 38.1% | epoch: 1 | remaining: 226s    
step 00236 (24.8%) | loss: 3.261441 | lrm: 1.00 | dt: 382ms | tok/sec: 1,374,210 | mfu: 33.2% | epoch: 1 | remaining: 225s    
step 00237 (24.9%) | loss: 3.255412 | lrm: 1.00 | dt: 313ms | tok/sec: 1,676,455 | mfu: 40.5% | epoch: 1 | remaining: 225s    
step 00238 (25.0%) | loss: 3.257508 | lrm: 1.00 | dt: 355ms | tok/sec: 1,477,394 | mfu: 35.7% | epoch: 1 | remaining: 225s    
step 00239 (25.2%) | loss: 3.255724 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,472 | mfu: 30.6% | epoch: 1 | remaining: 224s    
step 00240 (25.3%) | loss: 3.251346 | lrm: 1.00 | dt: 394ms | tok/sec: 1,330,420 | mfu: 32.1% | epoch: 1 | remaining: 224s    
step 00241 (25.4%) | loss: 3.251766 | lrm: 1.00 | dt: 358ms | tok/sec: 1,463,799 | mfu: 35.4% | epoch: 1 | remaining: 223s    
step 00242 (25.5%) | loss: 3.252663 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,047 | mfu: 39.4% | epoch: 1 | remaining: 223s    
step 00243 (25.6%) | loss: 3.251804 | lrm: 1.00 | dt: 334ms | tok/sec: 1,567,622 | mfu: 37.9% | epoch: 1 | remaining: 223s    
step 00244 (25.8%) | loss: 3.251156 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,562 | mfu: 39.4% | epoch: 1 | remaining: 222s    
step 00245 (25.9%) | loss: 3.243635 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,674 | mfu: 39.8% | epoch: 1 | remaining: 222s    
step 00246 (26.0%) | loss: 3.239835 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,998 | mfu: 39.4% | epoch: 1 | remaining: 222s    
step 00247 (26.1%) | loss: 3.231583 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,843 | mfu: 39.0% | epoch: 1 | remaining: 221s    
step 00248 (26.2%) | loss: 3.233015 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,593 | mfu: 39.2% | epoch: 1 | remaining: 221s    
step 00249 (26.3%) | loss: 3.234076 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,236 | mfu: 39.3% | epoch: 1 | remaining: 221s    
step 00250 (26.4%) | loss: 3.234633 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,579 | mfu: 39.0% | epoch: 1 | remaining: 220s    
step 00251 (26.5%) | loss: 3.237580 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,510 | mfu: 39.3% | epoch: 1 | remaining: 220s    
step 00252 (26.6%) | loss: 3.239561 | lrm: 1.00 | dt: 334ms | tok/sec: 1,569,137 | mfu: 37.9% | epoch: 1 | remaining: 220s    
step 00253 (26.7%) | loss: 3.243028 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,286 | mfu: 39.7% | epoch: 1 | remaining: 219s    
step 00254 (26.8%) | loss: 3.246336 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,678 | mfu: 39.0% | epoch: 1 | remaining: 219s    
step 00255 (26.9%) | loss: 3.245267 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,901 | mfu: 39.6% | epoch: 1 | remaining: 219s    
step 00256 (27.1%) | loss: 3.239865 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,708 | mfu: 39.7% | epoch: 1 | remaining: 219s    
step 00257 (27.2%) | loss: 3.240612 | lrm: 1.00 | dt: 364ms | tok/sec: 1,438,737 | mfu: 34.8% | epoch: 1 | remaining: 218s    
step 00258 (27.3%) | loss: 3.234223 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,708 | mfu: 38.6% | epoch: 1 | remaining: 218s    
step 00259 (27.4%) | loss: 3.233875 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,906 | mfu: 38.3% | epoch: 1 | remaining: 218s    
step 00260 (27.5%) | loss: 3.231856 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,674 | mfu: 38.7% | epoch: 1 | remaining: 217s    
step 00261 (27.6%) | loss: 3.228983 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,436 | mfu: 39.3% | epoch: 1 | remaining: 217s    
step 00262 (27.7%) | loss: 3.228749 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,739 | mfu: 39.7% | epoch: 1 | remaining: 217s    
step 00263 (27.8%) | loss: 3.227227 | lrm: 1.00 | dt: 360ms | tok/sec: 1,454,657 | mfu: 35.1% | epoch: 1 | remaining: 216s    
step 00264 (27.9%) | loss: 3.227291 | lrm: 1.00 | dt: 358ms | tok/sec: 1,466,258 | mfu: 35.4% | epoch: 1 | remaining: 216s    
step 00265 (28.1%) | loss: 3.225641 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,231 | mfu: 38.3% | epoch: 1 | remaining: 215s    
step 00266 (28.2%) | loss: 3.220108 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,736 | mfu: 39.4% | epoch: 1 | remaining: 215s    
step 00267 (28.3%) | loss: 3.217093 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,624 | mfu: 38.5% | epoch: 1 | remaining: 215s    
step 00268 (28.4%) | loss: 3.216800 | lrm: 1.00 | dt: 345ms | tok/sec: 1,518,047 | mfu: 36.7% | epoch: 1 | remaining: 214s    
step 00269 (28.5%) | loss: 3.213230 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,851 | mfu: 40.2% | epoch: 1 | remaining: 214s    
step 00270 (28.6%) | loss: 3.214027 | lrm: 1.00 | dt: 382ms | tok/sec: 1,372,361 | mfu: 33.2% | epoch: 1 | remaining: 214s    
step 00271 (28.7%) | loss: 3.214527 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,737 | mfu: 39.4% | epoch: 1 | remaining: 213s    
step 00272 (28.8%) | loss: 3.215583 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,415 | mfu: 40.3% | epoch: 1 | remaining: 213s    
step 00273 (28.9%) | loss: 3.211274 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,672 | mfu: 38.2% | epoch: 1 | remaining: 213s    
step 00274 (29.1%) | loss: 3.209353 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,533 | mfu: 39.8% | epoch: 1 | remaining: 213s    
step 00275 (29.2%) | loss: 3.205057 | lrm: 1.00 | dt: 338ms | tok/sec: 1,550,541 | mfu: 37.5% | epoch: 1 | remaining: 212s    
step 00276 (29.3%) | loss: 3.210401 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,702 | mfu: 39.4% | epoch: 1 | remaining: 212s    
step 00277 (29.4%) | loss: 3.208451 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,991 | mfu: 39.4% | epoch: 1 | remaining: 212s    
step 00278 (29.5%) | loss: 3.205284 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,421 | mfu: 39.6% | epoch: 1 | remaining: 211s    
step 00279 (29.6%) | loss: 3.207034 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,394 | mfu: 39.7% | epoch: 1 | remaining: 211s    
step 00280 (29.7%) | loss: 3.206461 | lrm: 1.00 | dt: 338ms | tok/sec: 1,549,776 | mfu: 37.4% | epoch: 1 | remaining: 211s    
step 00281 (29.8%) | loss: 3.207016 | lrm: 1.00 | dt: 353ms | tok/sec: 1,486,051 | mfu: 35.9% | epoch: 1 | remaining: 210s    
step 00282 (29.9%) | loss: 3.205573 | lrm: 1.00 | dt: 366ms | tok/sec: 1,433,734 | mfu: 34.6% | epoch: 1 | remaining: 210s    
step 00283 (30.1%) | loss: 3.206979 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,495 | mfu: 38.6% | epoch: 1 | remaining: 210s    
step 00284 (30.2%) | loss: 3.203954 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,823 | mfu: 39.9% | epoch: 1 | remaining: 209s    
step 00285 (30.3%) | loss: 3.202563 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,138 | mfu: 38.7% | epoch: 1 | remaining: 209s    
step 00286 (30.4%) | loss: 3.203139 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,820 | mfu: 39.6% | epoch: 1 | remaining: 209s    
step 00287 (30.5%) | loss: 3.202451 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,069 | mfu: 39.3% | epoch: 1 | remaining: 208s    
step 00288 (30.6%) | loss: 3.207056 | lrm: 1.00 | dt: 325ms | tok/sec: 1,610,943 | mfu: 38.9% | epoch: 1 | remaining: 208s    
step 00289 (30.7%) | loss: 3.204234 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,951 | mfu: 39.4% | epoch: 1 | remaining: 208s    
step 00290 (30.8%) | loss: 3.201651 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,905 | mfu: 39.6% | epoch: 1 | remaining: 207s    
step 00291 (30.9%) | loss: 3.199867 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,464 | mfu: 38.4% | epoch: 1 | remaining: 207s    
step 00292 (31.0%) | loss: 3.198485 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,184 | mfu: 39.2% | epoch: 1 | remaining: 207s    
step 00293 (31.1%) | loss: 3.196331 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,831 | mfu: 39.2% | epoch: 1 | remaining: 206s    
step 00294 (31.2%) | loss: 3.194980 | lrm: 1.00 | dt: 345ms | tok/sec: 1,518,985 | mfu: 36.7% | epoch: 1 | remaining: 206s    
step 00295 (31.4%) | loss: 3.198907 | lrm: 1.00 | dt: 345ms | tok/sec: 1,519,252 | mfu: 36.7% | epoch: 1 | remaining: 206s    
step 00296 (31.5%) | loss: 3.199865 | lrm: 1.00 | dt: 428ms | tok/sec: 1,223,674 | mfu: 29.6% | epoch: 1 | remaining: 205s    
step 00297 (31.6%) | loss: 3.203598 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,950 | mfu: 39.5% | epoch: 1 | remaining: 205s    
step 00298 (31.7%) | loss: 3.198984 | lrm: 1.00 | dt: 418ms | tok/sec: 1,253,316 | mfu: 30.3% | epoch: 1 | remaining: 204s    
step 00299 (31.9%) | loss: 3.190631 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,101 | mfu: 38.8% | epoch: 1 | remaining: 204s    
step 00300 (32.0%) | loss: 3.190740 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,042 | mfu: 40.3% | epoch: 1 | remaining: 204s    
step 00301 (32.1%) | loss: 3.192590 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,434 | mfu: 38.3% | epoch: 1 | remaining: 203s    
step 00302 (32.2%) | loss: 3.191611 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,653 | mfu: 39.1% | epoch: 1 | remaining: 203s    
step 00303 (32.3%) | loss: 3.190807 | lrm: 1.00 | dt: 355ms | tok/sec: 1,476,420 | mfu: 35.7% | epoch: 1 | remaining: 203s    
step 00304 (32.4%) | loss: 3.187347 | lrm: 1.00 | dt: 357ms | tok/sec: 1,468,656 | mfu: 35.5% | epoch: 1 | remaining: 202s    
step 00305 (32.5%) | loss: 3.185590 | lrm: 1.00 | dt: 313ms | tok/sec: 1,676,666 | mfu: 40.5% | epoch: 1 | remaining: 202s    
step 00306 (32.6%) | loss: 3.181511 | lrm: 1.00 | dt: 385ms | tok/sec: 1,362,328 | mfu: 32.9% | epoch: 1 | remaining: 202s    
